Month,Date,Time,Humidity,Wind,Tempature,Liters(l)(Rubber milk),Metrolac Reading,Weight of Rubber in Kelograme,Total(latex)(dry Milk)
January,2023.01.16,7:20,17,3,31,60,90,0.28,16.8
,2023.01.18,3:48,16,4,27,80,90,0.28,22.4
,2023.01.03,2:15,43,4.2,25.5,95,75,0.34,32.3
,2023.01.10,4:30,46,4.7,27,110,78,0.37,40.7
,2023.01.16,1:20,42,4.1,25.2,100,80,0.33,33
,2023.01.24,3:45,48,4.5,28.5,115,85,0.39,44.8
,2023.01.09,5:10,38,3.8,23.5,75,70,0.31,23.3
,2023.01.17,2:50,37,3.7,24,80,72,0.32,25.6
,2023.01.27,4:00,39,3.9,26.2,105,88,0.36,37.8
,2023.01.14,3:25,33,3.3,22.8,70,65,0.3,21
,2023.01.21,1:55,35,3.5,24.8,90,76,0.35,31.5
,2023.01.30,4:40,34,3.4,27.8,120,90,0.41,49.2
,2023.01.05,2:30,55,2.5,19.5,50,62,0.25,12.5
,2023.01.12,5:05,57,2.7,20,55,65,0.27,14.9
,2023.01.19,3:15,58,2.8,21.3,60,70,0.29,17.4
,,,,,,,,,
February,2023.02.01,12:30,45,4,27,85,75,0.32,27.2
,2023.02.05,2:15,42,3,25,70,80,0.29,20.3
,2023.02.10,3:45,48,5,28,105,70,0.38,39.9
,2023.02.15,5:00,38,4,26,95,85,0.35,33.25
,2023.02.20,1:00,43,3,27,80,75,0.31,24.8
,2023.02.25,2:30,46,4,29,110,80,0.41,45.1
,2023.02.06,4:15,35,2,22,60,95,0.25,15
,2023.02.11,2:45,39,3,24,75,65,0.28,21
,2023.02.21,5:30,37,2,23,70,70,0.27,18.9
,2023.02.26,3:00,47,5,28,100,90,0.37,37
,2023.02.16,1:15,32,2,21,55,65,0.23,12.65
,2023.02.22,4:00,38,4,25,85,85,0.33,28.05
,2023.02.03,3:30,55,2,20,50,100,0.22,11
,2023.02.07,2:45,38,6,30,120,95,0.39,46.8
,2023.02.14,4:15,30,7,18,40,65,0.21,8.4
,2023.02.28,5:30,50,2,19,45,75,0.18,8.1
,,,,,,,,,
March,2023.03.01,0:00,45,4,26,80,75,0.32,25.6
,2023.03.04,7:12,48,3,27,95,82,0.37,35.15
,2023.03.08,3:36,42,5,25,70,88,0.29,20.3
,2023.03.12,10:48,38,3,28,110,78,0.41,45.1
,2023.03.16,7:12,52,5,23,75,70,0.26,19.5
,2023.03.20,0:00,47,4,29,100,85,0.35,35
,2023.03.24,10:48,41,3,24,65,72,0.27,17.55
,2023.03.28,3:36,37,5,27,115,80,0.39,44.85
,2023.03.02,7:12,36,2,30,45,65,0.21,9.45
,2023.03.06,3:36,53,2,22,55,70,0.24,13.2
,2023.03.10,0:00,35,6,31,40,60,0.21,8.4
,2023.03.14,7:12,54,4,21,50,78,0.26,13
,2023.03.18,10:48,38,6,32,35,62,0.22,7.7
,2023.03.22,3:36,55,2,20,60,68,0.24,14.4
,2023.03.26,0:00,34,5,33,30,58,0.19,5.7
,2023.03.30,10:48,36,2,22,50,70,0.24,12
,,,,,,,,,
April,2023.04.01,0:00,45,4,26,95,76,0.33,31.35
,2023.04.03,7:12,42,3,27,70,87,0.28,19.6
,2023.04.06,3:36,47,5,28,110,78,0.35,38.5
,2023.04.09,10:48,39,4,29,105,82,0.38,39.9
,2023.04.12,7:12,48,3,25,120,70,0.31,37.2
,2023.04.16,10:48,38,5,27,100,65,0.32,32
,2023.04.19,3:36,46,4,28,85,88,0.29,24.65
,2023.04.22,0:00,37,5,25,105,72,0.34,35.7
,2023.04.25,7:12,49,3,26,115,85,0.36,41.4
,2023.04.28,10:48,41,4,27,75,77,0.27,20.25
,2023.04.04,0:00,35,2,30,40,55,0.22,8.8
,2023.04.11,7:12,55,6,23,60,45,0.39,23.4
,2023.04.18,3:36,33,2,31,50,50,0.21,10.5
,2023.04.27,0:00,56,7,22,45,40,0.41,18.45
,,,,,,,,,
May,2023.05.02,7:12,48,4,27,110,75,0.34,37.4
,2023.05.05,3:36,44,5,28,115,82,0.37,42.55
,2023.05.08,0:00,43,3,26,105,88,0.36,37.8
,2023.05.11,10:48,37,4,25,85,65,0.31,26.35
,2023.05.14,0:00,53,5,30,60,77,0.29,17.4
,2023.05.17,7:12,55,3,27,95,70,0.32,30.4
,2023.05.20,3:36,39,4,29,120,85,0.39,46.8
,2023.05.23,7:12,50,3,28,75,76,0.28,21
,2023.05.26,10:48,41,4,24,100,72,0.33,33
,2023.05.29,10:48,47,5,27,70,90,0.26,18.2
,2023.05.03,7:12,36,2,31,40,62,0.24,9.6
,2023.05.07,0:00,54,6,23,60,80,0.38,22.8
,,,,,,,,,
June,2023.06.02,7:12,47,4,26,115,78,0.35,40.25
,2023.06.05,3:36,49,4,27,105,85,0.36,37.8
,2023.06.08,0:00,45,3,28,100,80,0.34,34
,2023.06.11,10:48,43,4,26,90,72,0.33,29.7
,2023.06.14,7:12,48,5,30,80,75,0.32,25.6
,2023.06.17,3:36,46,3,29,120,88,0.39,46.8
,2023.06.20,7:12,51,4,27,70,60,0.28,15.68
,2023.06.23,7:12,44,3,28,105,85,0.35,36.75
,2023.06.26,10:48,42,4,25,110,90,0.37,40.7
,2023.06.29,10:48,50,5,27,60,62,0.26,15.6
,2023.06.03,7:12,39,2,31,40,65,0.24,9.6
,2023.06.07,3:36,54,6,23,75,80,0.38,28.5
,,,,,,,,,
July,2023.07.01,7:12,48,4,26,100,75,0.34,34
,2023.07.03,3:36,47,4,27,105,82,0.35,36.75
,2023.07.06,0:00,46,3,28,110,88,0.36,39.6
,2023.07.09,10:48,44,4,29,95,72,0.33,31.35
,2023.07.12,7:12,49,5,30,85,77,0.32,27.2
,2023.07.15,3:36,48,4,26,120,85,0.39,46.8
,2023.07.18,0:00,47,3,28,70,76,0.28,19.6
,2023.07.21,10:48,45,4,27,100,70,0.31,31
,2023.07.24,7:12,50,5,28,80,62,0.26,20.8
,2023.07.27,3:36,48,4,29,70,65,0.29,20.3
,2023.07.30,0:00,46,3,27,40,80,0.37,14.8
,2023.07.31,10:48,45,4,28,60,68,0.27,16.2
,,,,,,,,,
August,2023.08.02,7:12,42,4,28,105,70,0.34,35.7
,2023.08.05,3:36,45,5,27,112,88,0.38,42.56
,2023.08.08,10:48,49,3,26,100,75,0.35,35
,2023.08.11,0:00,38,4,25,80,65,0.29,23.2
,2023.08.14,7:12,47,5,30,70,82,0.24,16.8
,2023.08.17,3:36,53,3,29,90,90,0.32,28.8
,2023.08.20,10:48,34,4,25,110,78,0.37,40.7
,2023.08.23,7:12,48,3,28,95,72,0.31,29.45
,2023.08.26,10:48,39,4,26,120,86,0.39,46.8
,2023.08.29,0:00,46,5,27,65,65,0.28,12.88
,2023.08.03,3:36,36,2,31,40,62,0.24,9.6
,2023.08.07,10:48,56,6,23,60,80,0.38,22.8
